Date,Open,High,Low,Close,Volume
06/09/2025,"174.54","176.47","174.37","176.09","28,935,910"
06/06/2025,"170.83","174.50","170.83","173.68","35,731,832"
06/05/2025,"170.34","170.93","167.59","168.21","36,444,559"
06/04/2025,"166.74","168.22","166.36","168.05","26,900,840"
06/03/2025,"167.49","168.48","165.28","166.18","45,084,898"
06/02/2025,"167.84","169.87","167.39","169.03","38,612,273"
05/30/2025,"171.35","172.21","167.44","171.74","52,639,910"
05/29/2025,"174.00","174.42","170.63","171.86","29,373,801"
05/28/2025,"173.16","175.27","171.91","172.36","34,784,000"
05/27/2025,"170.16","173.17","170.00","172.90","37,995,672"
05/23/2025,"169.06","169.96","167.89","168.47","35,211,441"
05/22/2025,"171.85","176.77","170.71","170.87","74,864,414"
05/21/2025,"163.69","173.14","163.56","168.56","73,415,961"
05/20/2025,"166.43","168.50","162.90","163.98","46,607,660"
05/19/2025,"164.51","166.64","164.22","166.54","30,426,100"
05/16/2025,"167.73","169.35","165.62","166.19","42,846,930"
05/15/2025,"165.84","166.21","162.37","163.96","33,146,672"
05/14/2025,"159.96","167.00","159.61","165.37","48,755,871"
05/13/2025,"158.79","160.57","156.16","159.53","42,382,129"
05/12/2025,"157.49","159.10","156.25","158.46","44,138,820"
